type,asset,quantity,price_per_unit,date
hold,Celsius,0,5.468732833862305,2021-01-01 00:00:00
hold,IOTA,0,0.2913480103015899,2021-01-01 00:00:00
hold,Axie_Infinity,0,0.5926390290260315,2021-01-01 00:00:00
hold,Compound,0,0.0,2021-01-01 00:00:00
hold,chainlink,0,11.84,2021-01-01 00:00:00
sell,PAX_Gold,100,1928.3507080078125,2021-01-01 00:00:00
hold,Hedera,0,0.0329249985516071,2021-01-01 00:00:00
buy,bitcoin_cash,100,341.53,2021-01-01 00:00:00
buy,Kava,100,1.3055360317230225,2021-01-01 00:00:00
sell,Elrond,100,26.06504249572754,2021-01-01 00:00:00
hold,Helium,0,1.3566570281982422,2021-01-01 00:00:00
buy,xrp,100,0.2372,2021-01-01 00:00:00
buy,Theta_Network,100,1.971477031707764,2021-01-01 00:00:00
hold,Bitcoin_Gold,0,8.498151779174805,2021-01-01 00:00:00
sell,Gnosis,100,72.70906829833984,2021-01-01 00:00:00
sell,near_protocol,100,1.359,2021-01-01 00:00:00
sell,Synthetix,100,8.359597206115723,2021-01-01 00:00:00
buy,monero,100,135.611,2021-01-01 00:00:00
sell,KuCoin_Token,100,0.6882979869842529,2021-01-01 00:00:00
buy,Celo,100,1.46015202999115,2021-01-01 00:00:00
sell,Zilliqa,100,0.0790750011801719,2021-01-01 00:00:00
sell,Holo,100,0.0032299999147653,2021-01-01 00:00:00
buy,BitTorrent_(New),100,0.0002939999976661,2021-01-01 00:00:00
buy,Waves,100,6.002284049987793,2021-01-01 00:00:00
hold,uniswap,0,4.7353,2021-01-01 00:00:00
hold,Neutrino_USD,0,0.9721390008926392,2021-01-01 00:00:00
buy,Quant,100,11.035646438598633,2021-01-01 00:00:00
hold,polkadot,0,8.301,2021-01-01 00:00:00
hold,ethereum_classic,0,5.6921,2021-01-01 00:00:00
sell,The_Graph,100,0.3369249999523163,2021-01-01 00:00:00
hold,Loopring,0,0.1757539957761764,2021-01-01 00:00:00
sell,Aave,100,90.34967041015624,2021-01-01 00:00:00
sell,Zcash,100,56.79283142089844,2021-01-01 00:00:00
hold,The_Sandbox,0,0.0370230004191398,2021-01-01 00:00:00
buy,Basic_Attention_Token,100,0.2051260024309158,2021-01-01 00:00:00
hold,dogecoin,0,0.005661,2021-01-01 00:00:00
sell,Klaytn,100,0.4959709942340851,2021-01-01 00:00:00
buy,Binance_USD,100,1.000100016593933,2021-01-01 00:00:00
hold,Kusama,0,69.49980163574219,2021-01-01 00:00:00
buy,Shiba_Inu,100,0.0,2021-01-01 00:00:00
sell,Neo,100,14.501691818237305,2021-01-01 00:00:00
hold,unus_sed_leo,0,1.3929,2021-01-01 00:00:00
hold,NEM,0,0.2223390042781829,2021-01-01 00:00:00
sell,Decentraland,100,0.0837379992008209,2021-01-01 00:00:00
hold,Cronos,0,0.0595870018005371,2021-01-01 00:00:00
hold,stellar,0,0.13221,2021-01-01 00:00:00
sell,Algorand,100,0.3981289863586426,2021-01-01 00:00:00
sell,Arweave,100,2.616595983505249,2021-01-01 00:00:00
sell,EOS,100,2.635438919067383,2021-01-01 00:00:00
hold,PancakeSwap,0,0.6620680093765259,2021-01-01 00:00:00
buy,Curve_DAO_Token,100,0.6223340034484863,2021-01-01 00:00:00
buy,Bitcoin_SV,100,163.11581420898438,2021-01-01 00:00:00
hold,tether,0,1.0018,2021-01-01 00:00:00
sell,Decred,100,41.10792922973633,2021-01-01 00:00:00
hold,Pax_Dollar,0,1.002835035324097,2021-01-01 00:00:00
buy,THORChain,100,1.294044017791748,2021-01-01 00:00:00
buy,polygon,100,0.018,2021-01-01 00:00:00
hold,wrapped_bitcoin,0,29332.45,2021-01-01 00:00:00
hold,ethereum,0,729.12,2021-01-01 00:00:00
sell,VeChain,100,0.0190799999982118,2021-01-01 00:00:00
sell,1inch,100,1.1553770303726196,2021-01-01 00:00:00
buy,litecoin,100,126.302,2021-01-01 00:00:00
sell,Qtum,100,2.27226996421814,2021-01-01 00:00:00
buy,Trust_Wallet_Token,100,0.1271640062332153,2021-01-01 00:00:00
hold,bitcoin,0,29359.9,2021-01-01 00:00:00
sell,cardano,100,0.175,2021-01-01 00:00:00
hold,Stacks,0,0.4303500056266784,2021-01-01 00:00:00
sell,Dash,100,88.24170684814453,2021-01-01 00:00:00
buy,Enjin_Coin,100,0.136010006070137,2021-01-01 00:00:00
sell,usd_coin,100,0.9974,2021-01-01 00:00:00
sell,Tezos,100,2.0089190006256104,2021-01-01 00:00:00
buy,Huobi_Token,100,5.191839218139648,2021-01-01 00:00:00
sell,Nexo,100,0.5812069773674011,2021-01-01 00:00:00
buy,ftx_token,100,5.808,2021-01-01 00:00:00
sell,dai,100,1.0017,2021-01-01 00:00:00
hold,TrueUSD,0,1.0000569820404053,2021-01-01 00:00:00
hold,tron,0,0.026855,2021-01-01 00:00:00
hold,Fantom,0,0.0172279998660087,2021-01-01 00:00:00
sell,BNB,100,37.90501022338867,2021-01-01 00:00:00
buy,Filecoin,100,22.2910099029541,2021-01-01 00:00:00
buy,Gala,100,0.0010280000278726,2021-01-01 00:00:00
sell,Maker,100,582.22216796875,2021-01-01 00:00:00
hold,OKB,0,9.210249900817873,2021-01-01 00:00:00
sell,avalanche,100,3.65,2021-01-01 00:00:00
hold,Celsius,0,5.999201774597168,2021-01-02 00:00:00
buy,IOTA,100,0.2862200140953064,2021-01-02 00:00:00
buy,Axie_Infinity,100,0.5413209795951843,2021-01-02 00:00:00
sell,Compound,100,0.0,2021-01-02 00:00:00
buy,chainlink,100,12.21,2021-01-02 00:00:00
sell,PAX_Gold,100,1960.474365234375,2021-01-02 00:00:00
buy,Hedera,100,0.0332410000264644,2021-01-02 00:00:00
sell,bitcoin_cash,100,354.2,2021-01-02 00:00:00
sell,Kava,100,1.2946759462356567,2021-01-02 00:00:00
hold,Elrond,0,25.891307830810547,2021-01-02 00:00:00
hold,Helium,0,1.2905100584030151,2021-01-02 00:00:00
buy,xrp,100,0.22097,2021-01-02 00:00:00
buy,Theta_Network,100,2.4003570079803467,2021-01-02 00:00:00
hold,Bitcoin_Gold,0,8.50383186340332,2021-01-02 00:00:00
hold,Gnosis,0,71.52691650390625,2021-01-02 00:00:00
buy,near_protocol,100,1.412,2021-01-02 00:00:00
hold,Synthetix,0,8.18303394317627,2021-01-02 00:00:00
sell,monero,100,143.31,2021-01-02 00:00:00
buy,KuCoin_Token,100,0.6814360022544861,2021-01-02 00:00:00
buy,Celo,100,1.4336780309677124,2021-01-02 00:00:00
sell,Zilliqa,100,0.0727040022611618,2021-01-02 00:00:00
hold,Holo,0,0.0029009999707341,2021-01-02 00:00:00
sell,BitTorrent_(New),100,0.0003380000125616,2021-01-02 00:00:00
buy,Waves,100,5.569315910339356,2021-01-02 00:00:00
buy,uniswap,100,4.8564,2021-01-02 00:00:00
sell,Neutrino_USD,100,0.981456995010376,2021-01-02 00:00:00
sell,Quant,100,11.947816848754885,2021-01-02 00:00:00
hold,polkadot,0,9.22,2021-01-02 00:00:00
hold,ethereum_classic,0,5.7752,2021-01-02 00:00:00
sell,The_Graph,100,0.3573890030384063,2021-01-02 00:00:00
hold,Loopring,0,0.1752009987831115,2021-01-02 00:00:00
hold,Aave,0,85.71284484863281,2021-01-02 00:00:00
sell,Zcash,100,57.80491256713867,2021-01-02 00:00:00
buy,The_Sandbox,100,0.0381410010159015,2021-01-02 00:00:00
hold,Basic_Attention_Token,0,0.2040160000324249,2021-01-02 00:00:00
buy,dogecoin,100,0.010489,2021-01-02 00:00:00
sell,Klaytn,100,0.4864239990711212,2021-01-02 00:00:00
hold,Binance_USD,0,0.9998000264167786,2021-01-02 00:00:00
hold,Kusama,0,68.944091796875,2021-01-02 00:00:00
sell,Shiba_Inu,100,0.0,2021-01-02 00:00:00
buy,Neo,100,14.437278747558594,2021-01-02 00:00:00
sell,unus_sed_leo,100,1.3943,2021-01-02 00:00:00
hold,NEM,0,0.2032060027122497,2021-01-02 00:00:00
sell,Decentraland,100,0.0795520022511482,2021-01-02 00:00:00
buy,Cronos,100,0.0618179999291896,2021-01-02 00:00:00
hold,stellar,0,0.12752,2021-01-02 00:00:00
hold,Algorand,0,0.4080910086631775,2021-01-02 00:00:00
sell,Arweave,100,2.6682279109954834,2021-01-02 00:00:00
hold,EOS,0,2.6264259815216064,2021-01-02 00:00:00
sell,PancakeSwap,100,0.6169390082359314,2021-01-02 00:00:00
sell,Curve_DAO_Token,100,0.6141759753227234,2021-01-02 00:00:00
hold,Bitcoin_SV,0,163.08938598632812,2021-01-02 00:00:00
sell,tether,100,1.0003,2021-01-02 00:00:00
sell,Decred,100,45.49716567993164,2021-01-02 00:00:00
